Player,Mat_t20,Inns_t20,Overs_t20,Mdns_t20,Runs_t20,BBI_t20,Ave_t20,Econ_t20,SR_t20,Team_t20,Wkts_t20,4s_t20,5s_t20,Mat_odi,Inns_odi,Overs_odi,Mdns_odi,Runs_odi,BBI_odi,Ave_odi,Econ_odi,SR_odi,Team_odi,Wkts_odi,4s_odi,5s_odi,Price,Score,Price_score,Price_adjusted
Imran Tahir,13,13,49.5,0,314,24-May,11.62,6.3,11,,27,1,1,17,16,148.1,5,692,Jul-45,23.06,4.67,29.6,,30,0,1,0,17.3,803.063583815,1866.7465055176
JJ Bumrah,18,18,67.4,3,438,11-Mar,18.25,6.47,16.9,,24,0,0,10,10,87.3,5,437,Apr-22,21.85,4.99,26.2,,20,2,0,0,23.37,594.4801026958,1381.8876570584
JP Faulkner,11,11,40.1,0,312,27-May,14.85,7.76,11.4,,21,0,1,17,16,133.4,2,687,Apr-32,24.53,5.13,28.6,,28,2,0,0,19.16,725.1043841336,1685.5278990321
Al-Amin Hossain,12,11,34.5,0,289,25-Mar,15.21,8.29,11,,19,0,0,,,,,,,,,,,,,,0,19.29,720.2177293935,1674.1687167162
CJ Jordan,13,13,46.4,0,409,28-Apr,24.05,8.76,16.4,,17,1,0,4,4,33.2,1,183,Feb-42,61,5.49,66.6,,3,0,0,0,25.16,552.186009539,1283.5737100737
KMDN Kulasekara,12,12,42,1,331,Apr-31,19.47,7.88,14.8,,17,1,0,8,8,65,3,350,Feb-23,38.88,5.38,43.3,,9,0,0,0,22.68,612.5661375661,1423.9292127626
Shakib Al Hasan,15,14,51.4,0,358,15-Apr,21.05,6.92,18.2,,17,1,0,9,9,81,0,430,Apr-47,30.71,5.3,34.7,,14,1,0,0,25.12,553.0652866242,1285.6176172554
IS Sodhi,7,7,27.4,0,178,18-Mar,11.86,6.43,11,,15,0,0,5,5,41.1,1,251,Feb-66,41.83,6.09,41.1,,6,0,0,0,17.43,797.074010327,1852.8235539561
A Nehra,12,12,43,2,295,23-Mar,21.07,6.86,18.4,SRH,14,0,0,,,,,,,,,,,,,,550,25.26,550,1278.4922622904
A Zampa,10,10,35,0,212,16-Mar,15.14,6.05,15,RPS,14,0,0,20,20,161.2,2,889,Mar-16,28.67,5.51,31.2,RPS,31,0,0,30,21.05,660,1534.1907147485
KJ Abbott,7,7,26.3,0,212,26-Mar,16.3,8,12.2,,13,0,0,4,4,38,4,164,Apr-40,23.42,4.31,32.5,,7,1,0,0,20.2,687.7722772277,1598.7482448245
Mustafizur Rahman,8,8,32,0,209,22-May,16.07,6.53,14.7,,13,0,1,2,2,19.2,2,94,Feb-32,23.5,4.86,29,,4,0,0,0,21.23,654.4041450777,1521.1829743502
K Rabada,8,8,31.2,0,271,25-Feb,20.84,8.64,14.4,DD,13,0,0,17,16,132,7,733,Mar-13,34.9,5.55,37.7,DD,21,0,0,500,23.04,602.9947916667,1401.6803188131
MJ Santner,9,9,33.1,0,225,11-Apr,17.3,6.78,15.3,,13,1,0,15,15,139,2,606,Mar-44,33.66,4.35,46.3,,18,0,0,0,22.08,629.2119565217,1462.6229413702
HH Pandya,13,12,35.3,1,275,8-Mar,22.91,7.74,17.7,,12,0,0,7,7,51,1,296,Mar-31,32.88,5.8,34,,9,0,0,0,25.44,546.108490566,1269.4463264723
YS Chahal,6,6,24,1,174,25-Jun,15.81,7.25,13,,11,0,1,3,3,24,3,77,Mar-25,12.83,3.2,24,,6,0,0,0,20.25,686.0740740741,1594.8007182941
CH Morris,8,8,29,1,247,27-Apr,22.45,8.51,15.8,,11,1,0,10,9,74.3,2,356,Apr-31,23.73,4.77,29.8,,15,2,0,0,24.31,571.4932126697,1328.4539097267
MM Ali,12,11,35,0,273,21-Feb,27.3,7.8,21,,10,0,0,13,13,110.1,0,592,Feb-39,118.4,5.37,132.2,,5,0,0,0,28.8,482.3958333333,1121.3442550505
R Ashwin,11,11,36,0,246,11-Feb,24.6,6.83,21.6,RPS,10,0,0,3,3,27,0,188,Mar-65,62.66,6.96,54,RPS,3,0,0,750,28.43,488.6739359831,1135.9379017044
SL Malinga,4,4,16,0,121,26-Apr,12.1,7.56,9.6,,10,1,0,,,,,,,,,,,,,,0,17.16,809.6153846154,1881.9763721128
DJ Willey,8,8,25,0,190,20-Mar,19,7.6,15,,10,0,0,12,12,90.4,6,509,Apr-34,39.15,5.61,41.8,,13,1,0,0,22.6,614.7345132743,1428.9696701529
RA Jadeja,11,11,36,0,266,11-Feb,29.55,7.38,24,,9,0,0,3,3,30,0,157,Feb-62,39.25,5.23,45,,4,0,0,0,31.38,442.7342256214,1029.1496031056
Mashrafe Mortaza,15,14,43.2,0,333,12-Feb,37,7.68,28.8,,9,0,0,9,9,81.4,4,366,Apr-29,24.4,4.48,32.6,,15,1,0,0,36.48,380.8388157895,885.271780303
AU Rashid,13,12,40,1,315,18-Feb,35,7.87,26.6,,9,0,0,13,13,122,0,645,Apr-43,26.87,5.28,30.5,,24,2,0,0,34.47,403.046127067,936.893372366
Rubel Hossain,3,3,12,0,111,31-Mar,15.85,9.25,10.2,,7,0,0,2,2,12,0,86,Jan-62,86,7.16,72,,1,0,0,0,19.45,714.293059126,1660.3966347278
BA Stokes,12,12,38.4,1,340,26-Mar,48.57,8.79,33.1,,7,0,0,11,9,61,1,374,Mar-63,46.75,6.13,45.7,,8,0,0,0,41.89,331.6543327763,770.9409058356
NM Coulter-Nile,6,6,24,0,197,29-Mar,32.83,8.2,24,,6,0,0,3,3,27.4,2,151,Feb-38,30.2,5.45,33.2,,5,0,0,0,32.2,431.4596273292,1002.941445511
HMRKB Herath,8,8,31.2,1,199,22-Feb,33.16,6.35,31.3,,6,0,0,,,,,,,,,,,,,,0,37.65,369.0039840637,857.7613425088
L Ngidi,3,3,8,0,44,19-Apr,7.33,5.5,8,,6,1,0,,,,,,,,,,,,,,0,13.5,1029.1111111111,2392.2010774411
LE Plunkett,8,8,27.5,1,207,27-Feb,34.5,7.43,27.8,,6,0,0,12,12,110,1,671,Mar-44,37.27,6.1,36.6,,18,0,0,0,35.23,394.3514050525,916.6822181509
PADLR Sandakan,3,3,12,0,76,23-Apr,12.66,6.33,12,,6,1,0,5,5,37,0,214,Feb-33,53.5,5.78,55.5,,4,0,0,0,18.33,757.937806874,1761.8502207013
BB Sran,2,2,8,1,41,10-Apr,6.83,5.12,8,,6,1,0,3,3,24,1,99,Feb-17,24.75,4.12,36,,4,0,0,0,13.12,1058.9176829268,2461.4873891353
Taskin Ahmed,10,9,30,1,190,Feb-32,31.66,6.33,30,,6,0,0,9,9,68.4,1,409,Apr-59,29.21,5.95,29.4,,14,1,0,0,36.33,382.4112303881,888.9269073893
SR Watson,6,5,16,0,125,23-Feb,20.83,7.81,16,,6,0,0,,,,,,,,,,,,,,0,23.81,583.4943301134,1356.3508838914
TA Boult,3,3,11,0,84,8-Feb,16.8,7.63,13.2,,5,0,0,13,13,123.2,6,646,Jun-33,24.84,5.23,28.4,,26,0,1,0,20.83,666.9707153145,1550.3943612796
Mahmudullah,15,8,14,0,115,5-Feb,23,8.21,16.8,,5,0,0,9,3,7,0,52,0,0,7.42,0,,0,0,0,0,25.01,555.4978008796,1291.272072989
A Mishra,3,3,12,0,72,24-Mar,14.4,6,14.4,DD,5,0,0,5,5,44.5,2,215,May-18,14.33,4.79,17.9,DD,15,0,1,350,20.4,681.0294117647,1583.0742424243
NLTC Perera,9,9,20.4,0,234,Mar-33,46.8,11.32,24.8,,5,0,0,4,4,15,2,100,Mar-33,25,6.66,22.5,,4,0,0,0,36.12,384.634551495,894.0950870835
S Prasanna,8,8,26,1,180,14-Jan,36,6.92,31.2,,5,0,0,9,8,67,2,397,Feb-32,66.16,5.92,67,,6,0,0,0,38.12,364.4543546695,847.1855861872
BM Wheeler,4,4,14.1,0,116,16-Feb,23.2,8.18,17,,5,0,0,,,,,,,,,,,,,,0,25.18,551.7474185862,1282.5541916384
Arafat Sunny,3,3,10,0,79,Feb-34,19.75,7.9,15,,4,0,0,,,,,,,,,,,,,,0,22.9,606.6812227074,1410.2495434696
JW Hastings,5,5,18,0,146,23-Feb,36.5,8.11,27,,4,0,0,8,8,65.5,2,362,Jun-45,22.62,5.49,24.6,,16,0,1,0,35.11,395.6992309883,919.8152818415
MJ McClenaghan,4,4,11,0,87,17-Mar,21.75,7.9,16.5,,4,0,0,,,,,,,,,,,,,,0,24.4,569.3852459016,1323.5538748137
AD Mathews,9,9,25.4,0,170,27-Feb,42.5,6.62,38.5,,4,0,0,11,8,44,1,198,Feb-17,22,4.5,29.3,,9,0,0,0,45.12,307.9122340426,715.7516521599
AM Phangiso,4,4,14,0,93,26-Feb,23.25,6.64,21,,4,0,0,5,5,36,1,168,Mar-40,16.8,4.66,21.6,,10,0,0,0,27.64,502.6410998553,1168.4050124984
MA Starc,2,2,8,0,58,26-Mar,14.5,7.25,12,,4,0,0,19,19,168,10,796,Apr-42,20.41,4.73,25.8,,39,1,0,0,19.25,721.7142857143,1677.6475088548
AJ Tye,3,3,10.2,0,109,Mar-37,27.25,10.54,15.5,,4,0,0,,,,,,,,,,,,,,0,26.04,533.5253456221,1240.1964111158
D Wiese,8,8,26,0,230,16-Feb,57.5,8.84,39,,4,0,0,,,,,,,,,,,,,,0,47.84,290.4055183946,675.0567421709
SM Boland,1,1,4,0,26,26-Mar,8.66,6.5,8,,3,0,0,8,7,61.2,3,346,Mar-67,31.45,5.64,33.4,,11,0,0,0,14.5,958.1379310345,2227.22169279
PVD Chameera,7,7,26.2,0,181,30-Mar,60.33,6.87,52.6,,3,0,0,,,,,,,,,,,,,,0,59.47,233.6135866824,543.0421144351
LA Dawson,2,2,6,0,47,27-Mar,15.66,7.83,12,,3,0,0,1,1,8,0,70,Feb-70,35,8.75,24,,2,0,0,0,19.83,700.6051437216,1628.5786457617
C de Grandhomme,4,4,10,0,82,22-Feb,27.33,8.2,20,,3,0,0,5,5,33,1,188,Feb-50,47,5.69,49.5,,4,0,0,0,28.2,492.6595744681,1145.2026434558
TM Dilshan,10,3,4,0,15,8-Feb,5,3.75,8,,3,0,0,3,3,12.5,0,72,0,0,5.61,0,,0,0,0,0,11.75,1182.3829787234,2748.486344294
GD Elliott,5,5,13,0,75,12-Mar,25,5.76,26,,3,0,0,,,,,,,,,,,,,,0,31.76,437.4370277078,1016.8361002977
LH Ferguson,1,1,4,0,32,1-Mar,10.66,8,8,,3,0,0,6,6,53,1,336,Mar-54,48,6.33,45.4,,7,0,0,0,16,868.3125,2018.4196590909
DAS Gunaratne,6,6,15,0,122,Jan-18,40.66,8.13,30,,3,0,0,10,8,49,2,236,03-Oct,26.22,4.81,32.6,,9,0,0,0,38.13,364.35877262,846.9634027132
DS Kulkarni,2,2,8,0,55,23-Feb,18.33,6.87,16,,3,0,0,4,4,32.2,3,149,Feb-31,24.83,4.6,32.3,,6,0,0,0,22.87,607.4770441627,1412.09945542
B Kumar,3,3,12,2,87,8-Feb,29,7.25,24,SRH,3,0,0,2,2,18,1,119,Jan-63,119,6.61,108,SRH,1,0,0,425,31.25,444.576,1033.4308654546
NL McCullum,2,2,5,0,21,15-Feb,7,4.2,10,,3,0,0,,,,,,,,,,,,,,0,14.2,978.3802816901,2274.2756722151
MR Marsh,5,4,10,0,83,17-Jan,27.66,8.3,20,,3,0,0,18,16,110.2,3,609,Mar-32,50.75,5.51,55.1,,12,0,0,0,28.3,490.9187279152,1141.1559910055
TS Mills,4,4,16,0,116,27-Jan,38.66,7.25,32,,3,0,0,,,,,,,,,,,,,,0,39.25,353.9617834395,822.7952750434
AF Milne,4,4,11.1,0,83,26-Feb,27.66,7.43,22.3,,3,0,0,,,,,,,,,,,,,,0,29.73,467.3057517659,1086.26688683
Mohammed Shami,2,2,6.4,0,79,1-Feb,26.33,11.85,13.3,,3,0,0,,,,,,,,,,,,,,0,25.15,552.4055666004,1284.0840773541
WD Parnell,4,4,12,0,121,16-Jan,40.33,10.08,24,,3,0,0,13,12,90,3,535,Apr-58,23.26,5.94,23.4,,23,1,0,0,34.08,407.6584507042,947.614863423
SS Pathirana,2,2,6.5,0,68,23-Feb,22.66,9.95,13.6,,3,0,0,11,11,76.3,1,381,Mar-37,38.1,4.98,45.9,,10,0,0,0,23.55,589.9363057325,1371.3254584057
AL Phehlukwayo,4,4,11,0,96,19-Mar,32,8.72,22,,3,0,0,12,12,79.4,4,474,Apr-44,43.09,5.94,43.4,,11,1,0,0,30.72,452.24609375,1051.2602391099
SK Raina,13,7,14,0,107,4-Jan,35.66,7.64,28,,3,0,0,,,,,,,,,,,,,,0,35.64,389.8148148148,906.136771758
JRMVB Sanjaya,3,3,10,0,101,1-Feb,33.66,10.1,20,,3,0,0,,,,,,,,,,,,,,0,30.1,461.561461794,1072.9141045002
MD Shanaka,8,5,9,0,72,27-Feb,24,8,18,,3,0,0,9,7,25,0,144,May-43,24,5.76,25,,6,0,1,0,26,534.3461538462,1242.1044055944
TAM Siriwardana,11,8,12,0,116,1-Feb,38.66,9.66,24,,3,0,0,1,1,6,0,34,0,0,5.66,0,,0,0,0,0,33.66,412.7450980392,959.4389348026
DW Steyn,4,4,14,0,130,1-Feb,43.33,9.28,28,,3,0,0,4,4,36.2,0,254,Feb-65,50.8,6.99,43.6,,5,0,0,0,37.28,372.6663090129,866.2745317987
AJ Turner,3,3,6,0,42,12-Feb,14,7,12,,3,0,0,,,,,,,,,,,,,,0,19,731.2105263158,1699.7218181818
I Udana,2,2,6.3,0,62,13-Mar,20.66,9.53,13,,3,0,0,,,,,,,,,,,,,,0,22.53,616.6444740346,1433.4094338861
JDF Vandersay,3,3,12,1,62,26-Feb,20.66,5.16,24,,3,0,0,4,3,27,0,162,Mar-50,40.5,6,40.5,,4,0,0,0,29.16,476.4403292181,1107.5004988153
KS Williamson,9,3,7,0,28,16-Feb,9.33,4,14,,3,0,0,15,6,26,1,126,Mar-22,21,4.84,26,,6,0,0,0,18,771.8333333333,1794.1508080808
Yuvraj Singh,12,4,8,0,43,10-Jan,14.33,5.37,16,,3,0,0,3,2,5,0,31,0,0,6.2,0,,0,0,0,0,21.37,650.1169864296,1511.2173395159
CJ Anderson,9,5,12,0,84,1-Feb,42,7,36,,2,0,0,4,1,4,0,27,0,0,6.75,0,,0,0,0,0,43,323.0930232558,751.0398731501
F Behardien,6,1,3,0,15,15-Feb,7.5,5,9,,2,0,0,14,4,5,0,44,0,0,8.8,0,,0,0,0,0,14,992.3571428571,2306.7653246753
PJ Cummins,3,3,10,0,77,28-Jan,38.5,7.7,30,,2,0,0,10,10,89.5,2,471,Apr-41,26.16,5.24,29.9,,18,1,0,0,37.7,368.5145888594,856.6237279961
RAS Lakmal,4,4,10.4,0,112,18-Jan,56,10.5,32,,2,0,0,16,16,117.2,6,620,Apr-38,29.52,5.28,33.5,,21,1,0,0,42.5,326.8941176471,759.8756363636
GJ Maxwell,9,9,19,0,168,18-Feb,84,8.84,57,,2,0,0,12,3,7,1,28,Feb-15,9.33,4,14,,3,0,0,0,65.84,211.0115431349,490.5029548216
Mosaddek Hossain,3,3,7.4,0,58,22-Jan,29,7.56,23,,2,0,0,8,8,38,1,190,Feb-30,31.66,5,38,,6,0,0,0,30.56,454.6138743456,1056.7642194193
AR Patel,3,3,12,0,59,Jan-18,29.5,4.91,36,,2,0,0,8,8,70.4,4,250,02-Sep,35.71,3.53,60.5,,7,0,0,0,40.91,339.5991200196,789.4088131375
JA Richardson,2,2,6,0,62,24-Jan,31,10.33,18,,2,0,0,,,,,,,,,,,,,,0,28.33,490.3988704553,1139.9475660238
JE Root,12,3,3,0,32,9-Feb,16,10.66,9,,2,0,0,12,3,10,0,63,Jan-26,63,6.3,60,,1,0,0,0,19.66,706.6632756867,1642.6609636549
Sabbir Rahman,15,2,3,0,16,5-Jan,8,5.33,9,,2,0,0,9,2,5,0,28,0,0,5.6,0,,0,0,0,0,14.33,969.5045359386,2253.6437226416
AC Agar,2,2,3,0,43,25-Jan,43,14.33,18,,1,0,0,,,,,,,,,,,,,,0,32.33,429.724713888,998.9085847651
DM de Silva,5,3,4,0,23,Jan-18,23,5.75,24,,1,0,0,16,11,39,0,209,Feb-35,52.25,5.35,58.5,,4,0,0,0,29.75,466.9915966387,1085.5366233766
R Dhawan,1,1,4,0,42,1-Jan,42,10.5,24,KKR,1,0,0,,,,,,,,,,,,,,55,34.5,402.6956521739,936.0786824769
JP Duminy,8,4,7,0,89,31-Jan,89,12.71,42,DD,1,0,0,19,15,46,0,267,Apr-16,33.37,5.8,34.5,DD,8,1,0,220,54.71,253.9389508317,590.2890613317
Harbhajan Singh,1,1,4,1,11,Jan-18,11,2.75,24,,1,0,0,,,,,,,,,,,,,,0,26.75,519.3644859813,1207.2790484282
JR Hazlewood,3,3,12,0,114,26-Jan,114,9.5,72,,1,0,0,18,17,156.1,11,725,May-50,25.89,4.64,33.4,,28,0,1,0,81.5,170.4662576687,396.2541662019
TM Head,5,1,2,0,16,16-Jan,16,8,12,,1,0,0,22,17,89.4,0,516,Feb-22,46.9,5.75,48.9,,11,0,0,0,20,694.65,1614.7357272727
MC Henriques,5,4,10,0,93,24-Jan,93,9.3,60,,1,0,0,2,2,14,0,88,Jan-48,88,6.28,84,,1,0,0,0,69.3,200.4761904762,466.0131969041
MJ Henry,1,1,4,0,44,1-Jan,44,11,24,,1,0,0,5,5,47.2,0,325,Feb-53,46.42,6.86,40.5,,7,0,0,0,35,396.9428571429,922.7061298701
GSNFG Jayasuriya,6,3,5,0,43,13-Jan,43,8.6,30,,1,0,0,3,3,11,0,63,0,0,5.72,0,,0,0,0,0,38.6,359.9222797927,836.6506358926
V Kohli,15,1,1.4,0,15,Jan-18,15,9,10,RCB,1,0,0,,,,,,,,,,,,,,1250,19,731.2105263158,1699.7218181818
Nasir Hossain,2,2,5,0,46,24-Jan,46,9.2,30,,1,0,0,2,2,17,1,82,Jan-29,41,4.82,51,,2,0,0,0,39.2,354.4132653061,823.8447588126
P Negi,1,1,3,0,16,16-Jan,16,5.33,18,RCB,1,0,0,,,,,,,,,,,,,,100,23.33,595.499357051,1384.2569457975
Parvez Rasool,1,1,4,0,32,1-Jan,32,8,24,,1,0,0,,,,,,,,,,,,,,0,32,434.15625,1009.2098295455
SMSM Senanayake,2,2,8,0,85,1-Jan,85,10.62,48,,1,0,0,,,,,,,,,,,,,,0,58.62,237.0010235415,550.9163177321
Shuvagata Hom,3,3,8,0,53,24-Jan,53,6.62,48,,1,0,0,,,,,,,,,,,,,,0,54.62,254.3573782497,591.2617089977
JT Smuts,3,2,4.4,0,41,19-Jan,41,8.78,28,,1,0,0,,,,,,,,,,,,,,0,36.78,377.7324632953,878.0509664343
RJW Topley,4,4,9.1,0,114,22-Jan,114,12.43,55,,1,0,0,,,,,,,,,,,,,,0,67.43,206.0358890701,478.9368907824
Abu Hider,3,2,3,0,29,0,0,9.66,0,,0,0,0,,,,,,,,,,,,,,0,9.66,1438.198757764,3343.1381517034
KMC Bandara,1,1,1,0,11,0,0,11,0,,0,0,0,1,1,10,0,83,Jan-83,83,8.3,60,,1,0,0,0,11,1263,2935.8831404959
STR Binny,1,1,1,0,32,0,0,32,0,,0,0,0,,,,,,,,,,,,,,0,32,434.15625,1009.2098295455
ST de Silva,3,1,1,0,10,0,0,10,0,,0,0,0,,,,,,,,,,,,,,0,10,1389.3,3229.4714545455
N Pradeep,2,2,4,0,37,0,0,9.25,0,,0,0,0,9,8,66,2,418,Feb-21,38,6.33,36,,11,0,0,0,9.25,1501.945945946,3491.3204914005
MD Gunathilaka,1,1,1,0,9,0,0,9,0,,0,0,0,10,5,25,0,142,Mar-48,28.4,5.68,30,,5,0,0,0,9,1543.6666666667,3588.3016161616
MF Maharoof,1,1,3,0,26,0,0,8.66,0,,0,0,0,5,4,35,2,224,Jan-59,112,6.4,105,,2,0,0,0,8.66,1604.272517321,3729.1818181818
EMDY Munaweera,3,1,1,0,22,0,0,22,0,,0,0,0,,,,,,,,,,,,,,0,22,631.5,1467.941570248
C Munro,9,1,1,0,11,0,0,11,0,,0,0,0,8,3,7,0,51,Jan-20,51,7.28,42,,1,0,0,0,11,1263,2935.8831404959
JDS Neesham,2,1,1,0,17,0,0,17,0,,0,0,0,13,12,58,1,401,Mar-36,40.1,6.91,34.8,,10,0,0,0,17,817.2352941176,1899.6890909091
D Paterson,2,2,5.5,0,51,0,0,8.74,0,,0,0,0,,,,,,,,,,,,,,0,8.74,1589.5881006865,3695.0474308301
CAK Rajitha,1,1,3,0,46,0,0,15.33,0,,0,0,0,,,,,,,,,,,,,,0,15.33,906.2622309198,2106.6349997035
RLB Rambukwella,1,1,2.3,0,27,0,0,10.8,0,,0,0,0,,,,,,,,,,,,,,0,10.8,1286.3888888889,2990.2513468014
Saqlain Sajib,1,1,3.3,0,40,0,0,11.42,0,,0,0,0,,,,,,,,,,,,,,0,11.42,1216.5499124343,2827.9084540678
Soumya Sarkar,15,2,2,0,38,0,0,19,0,,0,0,0,4,1,4,0,25,0,0,6.25,0,,0,0,0,0,19,731.2105263158,1699.7218181818
TG Southee,1,1,4,0,47,0,0,11.75,0,,0,0,0,14,14,131.1,7,718,Mar-40,39.88,5.47,43.7,,18,0,0,0,11.75,1182.3829787234,2748.486344294
B Stanlake,1,1,3,0,42,0,0,14,0,RCB,0,0,0,2,2,13,1,68,Jan-55,68,5.23,78,RCB,1,0,0,30,14,992.3571428571,2306.7653246753
JD Unadkat,1,1,4,0,43,0,0,10.75,0,,0,0,0,,,,,,,,,,,,,,0,10.75,1292.3720930233,3004.1594926004
