Player,Mat_t20,Inns_t20,NO_t20,HS_t20,Ave_t20,SR_t20,4s_t20,6s_t20,Team_t20,Runs_t20,100s_t20,50s_t20,0s_t20,Mat_odi,Inns_odi,NO_odi,HS_odi,Ave_odi,SR_odi,4s_odi,6s_odi,Team_odi,Runs_odi,100s_odi,50s_odi,0s_odi,Price,Score,Price_score,Price_adjusted
V Kohli,15,13,5,89,61.75,130.68,58,6,RCB,494,0,4,0,8,8,2,154,90.5,102.84,48,9,RCB,543,2,3,0,1250,198.68,1250,2079.2038066015
GJ Maxwell,9,9,2,145,61.57,178.09,41,21,,431,1,2,0,12,10,1,78,27.44,124.12,29,5,,247,0,2,2,0,243.09,1529.4065834508,2543.9583921218
JE Root,12,12,2,83,42.3,128.57,39,11,,423,0,2,0,12,11,1,93,57.7,91.15,53,2,,577,0,7,0,0,180.57,1136.0604992954,1889.6810517316
Sabbir Rahman,15,15,2,80,31.15,125,38,13,,405,0,1,0,9,9,0,65,23.77,84.92,20,7,,214,0,1,0,0,177,1113.5997584055,1852.3206853657
JC Buttler,13,12,4,73,47.62,150,25,21,,381,0,3,1,14,11,2,93,52.33,121.07,38,15,,471,0,5,0,0,199,1252.0132876988,2082.5526349592
HM Amla,8,8,3,97,74,146.24,41,12,,370,0,5,0,16,16,1,154,41.4,92.68,72,7,,621,2,2,0,0,204.24,1284.9808737669,2137.3896993169
Tamim Iqbal,11,11,2,103,40.33,138.02,32,16,,363,1,1,0,9,9,0,118,45.22,73.73,44,2,,407,1,2,0,0,188.02,1182.9323535333,1967.6459619348
LD Chandimal,14,14,1,58,24.84,106.95,32,7,,323,0,3,0,15,15,2,102,51.38,74.72,38,5,,668,2,5,0,0,148.95,937.1225085565,1558.774949634
F du Plessis,10,10,1,79,33.77,128.27,24,11,,304,0,1,0,17,16,2,185,60.35,98.83,75,9,,845,3,4,0,0,164.27,1033.5086571371,1719.10010726
MS Dhoni,18,15,10,56,59.8,142.38,20,10,RPS,299,0,1,0,11,8,0,134,44.62,82.25,26,12,RPS,357,1,1,0,1250,173.38,1090.8244413127,1814.437064569
RG Sharma,12,12,1,83,27.09,134.23,28,13,,298,0,2,1,5,5,0,70,24.6,77.84,11,5,,123,0,1,0,0,177.23,1115.046808939,1854.7276557478
Mahmudullah,15,13,5,52,37,133.33,23,11,,296,0,1,0,9,9,1,75,28.62,82.97,20,3,,229,0,2,1,0,168.33,1059.0522448158,1761.5883670487
AB de Villiers,10,10,1,71,32.22,169.59,17,20,,290,0,3,1,13,12,3,64,41.55,94.68,24,4,,374,0,2,0,0,209.59,1318.6405274814,2193.3779234226
JJ Roy,13,13,0,78,22.23,133.79,29,13,,289,0,1,2,15,15,2,162,59.3,111.41,80,14,,771,2,5,1,0,176.79,1112.2785383531,1850.123016756
EJG Morgan,13,13,2,51,25.72,122.51,9,16,,283,0,1,2,13,11,2,102,48.55,98.86,36,16,,437,1,2,0,0,148.51,934.3542379706,1554.1703106422
KS Williamson,9,9,1,73,35.12,110.19,29,5,,281,0,2,0,15,15,1,118,45.85,84.25,67,6,,642,1,4,0,0,146.19,919.7579021542,1529.8913050487
KL Rahul,8,7,2,110,56,150.53,26,11,,280,1,1,1,6,6,2,100,55,81.78,18,4,,220,1,1,0,0,189.53,1192.4325548621,1983.4482457478
TM Dilshan,10,10,2,83,33.75,121.07,32,6,,270,0,2,0,3,3,0,42,24.66,71.84,9,0,,74,0,0,0,0,161.07,1013.375780149,1685.6118236828
Shakib Al Hasan,15,15,3,50,21.83,111.01,21,5,,262,0,1,0,9,9,0,79,28,91.97,23,3,,252,0,2,0,0,138.01,868.2932353533,1444.2868801544
Soumya Sarkar,15,15,0,48,16.66,109.64,28,5,,250,0,0,3,4,4,0,20,8,60.37,3,0,,32,0,0,1,0,142.64,897.4229917455,1492.7402404552
Q de Kock,8,8,0,52,28.62,143.12,31,8,,229,0,1,1,19,19,1,178,48.88,107.44,99,19,,880,2,6,0,0,183.12,1152.1038856453,1916.3670277072
DA Miller,12,10,2,53,28.62,165.94,16,14,,229,0,1,0,8,7,3,118,88,122.22,27,12,,352,2,0,0,0,196.94,1239.0527481377,2060.9945524064
UT Khawaja,8,8,0,58,28.37,128.97,29,5,,227,0,1,0,13,12,1,98,32.81,81.12,31,6,,361,0,3,1,0,163.97,1031.6211999195,1715.9605806747
AD Mathews,9,9,3,73,37.16,105.18,11,9,,223,0,2,0,11,11,1,73,42.5,83.49,29,7,,425,0,4,1,0,127.18,800.1560297967,1330.9499704227
DA Warner,9,9,0,77,24.55,144.44,23,7,,221,0,1,0,22,22,1,179,67.09,106.58,150,21,,1409,8,2,0,0,175.44,1103.7849808738,1835.9951471218
C Munro,9,9,0,101,24.33,134.35,18,11,,219,1,0,3,8,7,0,87,25,91.14,14,6,,175,0,1,0,0,164.35,1034.0119790618,1719.9373143495
AJ Finch,7,7,0,53,29.71,140.54,15,11,,208,0,1,0,22,20,0,72,25.1,93.13,56,18,,502,0,5,2,0,167.54,1054.0819408094,1753.3209470405
CJ Anderson,9,9,1,94,25.37,130.12,12,11,,203,0,1,1,4,4,0,21,7.75,53.44,4,0,,31,0,0,1,0,154.12,969.6496879404,1612.8794577885
CK Kapugedera,13,13,2,43,18.45,107.97,16,5,,203,0,0,0,,,,,,,,,,,,,,0,128.97,811.4178578619,1349.6824790487
SK Raina,13,10,0,63,18.4,119.48,12,8,,184,0,1,1,,,,,,,,,,,,,,0,140.48,883.8332997785,1470.1356490406
Yuvraj Singh,12,11,2,35,20.44,110.17,15,9,,184,0,0,0,3,3,0,150,70,107.14,28,5,,210,1,0,0,0,134.17,844.1337829676,1404.1009398617
N Dickwella,6,5,0,68,35.4,150,28,4,,177,0,1,0,10,9,0,94,41.77,99.73,42,3,,376,0,3,0,0,183,1151.3489027582,1915.111217073
DAS Gunaratne,6,6,3,84,54.66,156.19,15,6,,164,0,2,0,10,8,2,114,37,88.09,22,3,,222,1,0,0,0,179.19,1127.3781960942,1875.2392294389
JP Duminy,8,7,3,54,38.75,144.85,10,7,DD,155,0,1,0,19,17,3,82,32.64,90.85,40,6,DD,457,0,3,0,220,162.85,1024.5746929736,1704.2396814226
SPD Smith,7,7,1,61,25.33,119.68,12,4,,152,0,1,0,23,22,3,164,53.63,85.41,90,11,,1019,3,7,3,0,136.68,859.9255083551,1430.3683122926
SR Watson,6,6,2,44,36.75,138.67,13,7,,147,0,0,0,,,,,,,,,,,,,,0,158.67,998.2761224079,1660.4956109999
AD Hales,8,8,0,37,18.25,119.67,19,2,,146,0,0,1,11,10,1,171,42.55,114.32,47,10,,383,2,0,1,0,140.67,885.0286893497,1472.1240158779
M Klinger,3,3,0,62,47.66,127.67,12,2,,143,0,1,0,,,,,,,,,,,,,,0,142.67,897.6117374673,1493.0541931137
MJ Guptill,4,4,0,80,35,157.3,15,8,,140,0,1,0,12,12,1,114,35.09,96.98,47,10,,386,1,2,3,0,181.3,1140.6533118583,1897.3205664226
DM de Silva,5,5,0,62,24.4,114.01,8,2,,122,0,1,0,16,15,2,78,25.69,75.05,38,0,,334,0,3,1,0,125.01,786.5034225891,1308.2407281219
S Dhawan,8,8,1,60,17.42,99.18,16,3,SRH,122,0,1,0,2,2,0,11,6,48,2,0,SRH,12,0,0,0,1250,119.18,749.8238373264,1247.2292614796
S Dhawan,8,8,1,60,17.42,99.18,16,3,SRH,122,0,1,0,2,2,0,11,6,48,2,0,SRH,12,0,0,0,1250,119.18,749.8238373264,1247.2292614796
TM Head,5,5,1,45,29.75,163.01,5,7,,119,0,0,0,22,21,1,128,37.2,88.78,71,12,,744,1,5,1,0,175.01,1101.0796255285,1831.4951590161
BA Stokes,12,11,2,38,13.11,132.58,9,6,,118,0,0,0,11,10,3,101,67,108.81,33,19,,469,1,4,1,0,147.58,928.5031205959,1544.4377782275
NLTC Perera,9,8,0,40,13.5,142.1,10,5,,108,0,0,1,4,4,0,21,13.75,98.21,6,1,,55,0,0,0,0,157.1,988.3984296356,1644.0654218698
TAM Siriwardana,11,10,1,35,11.88,117.58,5,4,,107,0,0,2,1,1,0,19,19,73.07,0,0,,19,0,0,0,0,126.58,796.3811153614,1324.6709172519
TC Bruce,4,4,1,59,34.66,131.64,9,3,,104,0,1,0,,,,,,,,,,,,,,0,144.64,910.0060398631,1513.670417691
EMDY Munaweera,3,3,0,44,30.33,156.89,10,3,,91,0,0,0,,,,,,,,,,,,,,0,169.89,1068.8670223475,1777.9139052926
LRPL Taylor,5,5,1,36,22.75,113.75,5,3,,91,0,0,0,9,9,1,107,43.12,80.6,30,1,,345,2,0,1,0,121.75,765.9930541574,1274.1245392276
Mandeep Singh,3,3,1,52,43.5,119.17,11,1,,87,0,1,0,,,,,,,,,,,,,,0,132.17,831.55073485,1383.1707626259
S Prasanna,8,8,2,37,14.33,134.37,7,5,,86,0,0,0,9,9,1,95,22.12,145.08,14,13,,177,0,2,1,0,146.37,920.8903764848,1531.7750209999
Mohammad Mithun,10,7,0,47,12.14,92.39,6,3,,85,0,0,1,,,,,,,,,,,,,,0,101.39,637.8976243205,1061.0553349674
Mushfiqur Rahim,12,10,2,18,10.5,87.5,9,0,,84,0,0,2,7,7,2,67,39.6,91.66,16,1,,198,0,1,0,0,96.5,607.132071673,1009.881051626
MK Pandey,6,4,0,48,20.25,120.89,1,4,,81,0,0,1,8,6,2,28,20,80.8,7,1,,80,0,0,1,0,125.89,792.0399637608,1317.4500061056
KM Jadhav,3,2,0,58,38.5,140,8,2,,77,0,1,0,11,7,2,120,64.4,129.83,33,9,,322,1,1,1,0,151,950.020132877,1580.2283813007
MC Henriques,5,4,2,56,38,143.39,2,3,,76,0,1,0,2,2,0,6,5,43.47,0,0,,10,0,0,0,0,149.39,939.8907791423,1563.3795886259
MC Henriques,5,4,2,56,38,143.39,2,3,,76,0,1,0,2,2,0,6,5,43.47,0,0,,10,0,0,0,0,149.39,939.8907791423,1563.3795886259
F Behardien,6,5,1,31,18.75,129.31,5,2,,75,0,0,0,14,11,3,62,31.12,101.21,18,7,,249,0,2,2,0,136.31,857.5976444534,1426.496229504
BKG Mendis,8,8,0,22,9.25,123.33,6,3,,74,0,0,0,22,21,1,94,34.25,87.15,87,9,,685,0,8,1,0,132.33,832.5573786994,1384.8451768048
MM Ali,12,9,4,41,14.6,102.81,5,2,,73,0,0,2,13,10,2,55,21.37,96.61,13,3,,171,0,1,0,0,109.81,690.8722568955,1149.17138113
MR Marsh,5,5,2,35,23.66,126.78,3,4,,71,0,0,0,18,16,3,79,28.61,89.63,32,11,,372,0,3,2,0,133.78,841.6800885847,1400.0195553007
HH Pandya,13,8,0,31,8.87,124.56,6,3,,71,0,0,1,7,5,2,56,53.33,119.4,12,4,,160,0,1,0,0,133.56,840.2959532917,1397.7172358048
C de Grandhomme,4,4,2,41,31,182.35,3,5,,62,0,0,0,5,4,1,34,21,123.52,1,5,,63,0,0,0,0,190.35,1197.5916045903,1992.0296184145
BR Dunk,2,2,0,32,30,171.42,5,5,,60,0,0,0,,,,,,,,,,,,,,0,181.42,1141.4082947453,1898.5763770568
DJ Willey,8,5,2,21,20,122.44,2,4,,60,0,0,1,12,7,4,10,13.66,53.94,1,1,,41,0,0,0,0,128.44,808.0833501107,1344.1359820812
MD Shanaka,8,8,1,20,8,91.8,3,3,,56,0,0,2,9,7,1,42,19.83,114.42,11,5,,119,0,0,0,0,97.8,615.3110529495,1023.4856668292
CH Morris,8,5,3,17,26.5,117.77,4,2,,53,0,0,0,10,7,1,40,18,94.73,7,4,,108,0,0,0,0,123.77,778.7019327562,1295.2640182357
RR Rossouw,5,4,0,19,13.25,96.36,3,1,,53,0,0,1,7,7,1,122,63.16,93.81,43,3,,379,1,3,0,0,100.36,631.41735454,1050.276293691
D Wiese,8,5,2,28,17.66,126.19,2,2,,53,0,0,0,,,,,,,,,,,,,,0,130.19,819.0935172136,1362.4498871625
AM Rahane,4,4,1,40,17,108.51,3,0,,51,0,0,1,6,6,0,57,24,69.23,16,3,,144,0,1,0,0,111.51,701.5678477955,1166.9620317804
GD Elliott,5,5,2,27,16.66,108.69,4,0,,50,0,0,0,,,,,,,,,,,,,,0,112.69,708.9918461848,1179.3108363495
L Ronchi,8,7,2,21,10,142.85,3,2,,50,0,0,2,6,5,0,35,9.4,77.04,4,1,,47,0,0,1,0,147.85,930.2018320918,1547.2633521544
M Mosehle,3,3,1,32,24.5,188.46,3,4,,49,0,0,0,,,,,,,,,,,,,,0,195.46,1229.7412925307,2045.5062212519
CJ Jordan,13,7,2,15,9.6,88.88,6,0,,48,0,0,1,4,1,1,15,0,83.33,0,1,,15,0,0,0,0,94.88,596.9398026978,992.927608065
KMDN Kulasekara,12,7,2,13,9.4,114.63,6,0,,47,0,0,1,8,4,0,17,11.5,90.19,6,1,,46,0,0,0,0,120.63,758.9465472116,1262.4036399755
Mashrafe Mortaza,15,11,2,15,5.22,109.3,4,3,,47,0,0,3,9,8,0,44,12.25,95.14,7,4,,98,0,0,0,0,116.3,731.704248037,1217.0898062601
GSNFG Jayasuriya,6,5,0,26,8.8,104.76,3,2,,44,0,0,0,3,2,0,31,20,56.33,2,0,,40,0,0,0,0,109.76,690.5576806926,1148.6481266991
JP Faulkner,11,8,3,14,8.4,123.52,4,0,,42,0,0,0,17,12,5,25,16.42,68.86,7,0,,115,0,0,1,0,127.52,802.2951479766,1334.5081005528
RR Hendricks,1,1,0,41,41,120.58,4,0,,41,0,0,0,,,,,,,,,,,,,,0,124.58,783.7980672438,1303.7407400162
SW Billings,5,4,0,22,9.75,150,4,2,,39,0,0,1,2,2,0,62,48.5,76.37,9,1,,97,0,1,0,0,156,981.4777531709,1632.5538243901
HG Kuhn,2,2,0,29,19.5,150,3,2,,39,0,0,0,,,,,,,,,,,,,,0,155,975.1862291121,1622.0887357722
MDKJ Perera,3,3,0,22,13,100,6,0,,39,0,0,0,17,16,0,135,23.5,83.74,43,3,,376,1,1,0,0,106,666.9015502315,1109.2993934959
AT Rayudu,3,2,0,20,19.5,92.85,5,0,,39,0,0,0,3,2,2,62,0,62.8,12,0,,103,0,1,0,0,97.85,615.6256291524,1024.0089212601
AR Patel,3,2,1,20,38,190,1,3,,38,0,0,0,8,3,0,38,26.33,98.75,4,3,,79,0,0,0,0,194,1220.5556674049,2030.2271918698
MJ Santner,9,6,0,18,6.33,102.7,4,0,,38,0,0,0,15,13,4,38,14.77,70,9,2,,133,0,0,2,0,106.7,671.3056170727,1116.6249555284
WU Tharanga,4,4,0,20,9.5,131.03,6,1,,38,0,0,1,18,15,3,119,33.58,85.2,38,10,,403,1,2,1,0,138.03,868.4190658345,1444.4961819267
JM Vince,2,2,0,22,19,118.75,6,0,,38,0,0,0,4,4,0,51,26,84.55,12,0,,104,0,1,0,0,124.75,784.8676263338,1305.5198050812
JT Smuts,3,3,0,19,12,120,5,1,,36,0,0,0,,,,,,,,,,,,,,0,126,792.7320314073,1318.6011658536
Mosaddek Hossain,3,3,0,20,11,106.45,2,2,,33,0,0,0,8,8,3,50,36,88.66,19,5,,180,0,1,1,0,110.45,694.8988322931,1155.8690378455
Shuvagata Hom,3,3,2,16,29,103.57,3,1,,29,0,0,0,,,,,,,,,,,,,,0,107.57,676.7792430038,1125.7295826259
TB de Bruyn,2,2,0,19,13,162.5,3,1,,26,0,0,0,,,,,,,,,,,,,,0,166.5,1047.5387557882,1742.4372548779
MD Gunathilaka,1,1,0,26,26,162.5,4,0,,26,0,0,0,10,10,0,63,26,91.54,24,4,,260,0,2,0,0,166.5,1047.5387557882,1742.4372548779
Nurul Hasan,5,5,2,10,8.66,100,2,0,,26,0,0,1,2,2,0,44,34,97.14,4,2,,68,0,0,0,0,102,641.7354539964,1067.4390390243
AJ Turner,3,3,0,18,8.66,123.8,1,0,,26,0,0,0,,,,,,,,,,,,,,0,124.8,785.1822025367,1306.0430595121
PM Nevill,9,5,4,10,25,227.27,1,2,,25,0,0,0,,,,,,,,,,,,,,0,230.27,1448.7492450171,2409.7959560405
JDS Neesham,2,2,0,15,10,117.64,3,0,,20,0,0,0,13,13,2,74,36.45,94.57,43,3,,401,0,3,0,0,120.64,759.0094624522,1262.5082908617
TG Southee,1,1,0,20,20,333.33,0,3,,20,0,0,0,14,12,3,55,14.11,104.95,13,5,,127,0,1,3,0,336.33,2116.0282866922,3519.7232548534
RLB Rambukwella,1,1,0,19,19,118.75,1,1,,19,0,0,0,,,,,,,,,,,,,,0,120.75,759.7015300987,1263.6594506097
AM Phangiso,4,2,0,13,8.5,70.83,1,0,,17,0,0,0,5,3,0,9,5,25.86,0,0,,15,0,0,0,0,71.83,451.9201731427,751.7073154227
Taskin Ahmed,10,2,1,15,16,94.11,1,1,,16,0,0,0,9,6,1,4,1.8,25.71,0,0,,9,0,0,2,0,96.11,604.6783772901,1005.799667065
Taskin Ahmed,10,2,1,15,16,94.11,1,1,,16,0,0,0,9,6,1,4,1.8,25.71,0,0,,9,0,0,2,0,96.11,604.6783772901,1005.799667065
R Ashwin,11,2,1,10,15,68.18,1,0,RPS,15,0,0,0,3,2,1,15,16,123.07,0,1,RPS,16,0,0,0,750,69.18,435.247634387,723.9748305853
Imrul Kayes,4,3,0,14,4.66,48.27,1,0,,14,0,0,2,7,7,0,112,46.42,77.38,36,5,,325,1,1,0,0,49.27,309.9833903765,515.6149162032
HDRL Thirimanne,4,4,0,6,3.5,53.84,2,0,,14,0,0,1,,,,,,,,,,,,,,0,55.84,351.3187034427,584.3705484227
MS Wade,1,1,0,14,14,60.86,0,0,,14,0,0,0,26,21,4,100,33.41,94.66,37,13,,568,1,3,0,0,60.86,382.9021542178,636.9052932845
SMSM Senanayake,2,2,2,7,0,92.85,1,0,,13,0,0,0,,,,,,,,,,,,,,0,93.85,590.4595329173,982.1485667885
RA Jadeja,11,3,1,12,6,109.09,2,0,,12,0,0,1,3,3,1,16,19.5,134.48,5,1,,39,0,0,0,0,111.09,698.9254076908,1162.5666945609
NM Coulter-Nile,6,2,0,9,5,90.9,0,1,,10,0,0,0,3,3,1,15,8,88.88,1,0,,16,0,0,1,0,91.9,578.1910610026,961.7416439837
JW Hastings,5,2,0,7,5,76.92,1,0,,10,0,0,0,8,5,2,51,30.33,100,10,4,,91,0,1,0,0,77.92,490.2355546608,815.4397051056
MF Maharoof,1,1,0,10,10,62.5,0,0,,10,0,0,0,5,4,1,31,23.66,118.33,4,2,,71,0,0,0,0,62.5,393.2202536743,654.0680386178
WD Parnell,4,4,3,4,10,90.9,1,0,,10,0,0,0,13,8,4,28,11.25,50,3,0,,45,0,0,1,0,91.9,578.1910610026,961.7416439837
AC Agar,2,1,0,9,9,112.5,0,1,,9,0,0,0,,,,,,,,,,,,,,0,113.5,714.0879806724,1187.78755813
KJ Abbott,7,2,2,6,0,133.33,1,0,,8,0,0,0,4,3,0,5,2,40,0,0,,6,0,0,1,0,134.33,845.140426817,1405.7753540406
KJ Abbott,7,2,2,6,0,133.33,1,0,,8,0,0,0,4,3,0,5,2,40,0,0,,6,0,0,1,0,134.33,845.140426817,1405.7753540406
Arafat Sunny,3,1,1,8,0,200,0,1,,8,0,0,0,,,,,,,,,,,,,,0,201,1264.5963358164,2103.482812195
TD Paine,3,3,1,7,4,133.33,1,0,,8,0,0,1,,,,,,,,,,,,,,0,134.33,845.140426817,1405.7753540406
SS Pathirana,2,2,0,6,4,114.28,1,0,,8,0,0,0,11,8,1,56,32.28,87.25,24,3,,226,0,1,0,0,115.28,725.2868934971,1206.4154158698
AU Rashid,13,5,3,4,4,61.53,0,0,,8,0,0,0,13,1,1,33,0,75,1,1,,33,0,0,0,0,61.53,387.1174753372,643.9169026585
MJ McClenaghan,4,2,1,6,7,233.33,0,1,,7,0,0,0,,,,,,,,,,,,,,0,234.33,1474.2928326958,2452.2842158291
HM Nicholls,1,1,0,7,7,63.63,1,0,,7,0,0,0,1,1,0,3,3,27.27,0,0,,3,0,0,0,0,64.63,406.6211999195,676.3586773739
HM Nicholls,1,1,0,7,7,63.63,1,0,,7,0,0,0,1,1,0,3,3,27.27,0,0,,3,0,0,0,0,64.63,406.6211999195,676.3586773739
A Zampa,10,2,2,5,0,116.66,0,0,RPS,7,0,0,0,20,10,3,12,7,62.82,3,1,RPS,49,0,0,1,30,116.66,733.9691966982,1220.8572381625
NT Broom,1,1,0,6,6,85.71,1,0,,6,0,0,0,7,7,1,109,52.16,93.43,24,7,,313,1,2,0,0,86.71,545.5380511375,907.4278340568
HMRKB Herath,8,3,0,3,2,60,0,0,,6,0,0,0,,,,,,,,,,,,,,0,60,377.4914435273,627.9053170731
Mustafizur Rahman,8,3,1,6,3,85.71,0,1,,6,0,0,1,,,,,,,,,,,,,,0,86.71,545.5380511375,907.4278340568
BM Wheeler,4,2,1,6,6,100,1,0,,6,0,0,0,,,,,,,,,,,,,,0,101,635.4439299376,1056.9739504064
RR Pant,1,1,1,5,0,166.66,1,0,,5,0,0,0,,,,,,,,,,,,,,0,167.66,1054.8369236964,1754.5767576747
Parvez Rasool,1,1,0,5,5,83.33,0,0,,5,0,0,0,,,,,,,,,,,,,,0,83.33,524.2726998188,872.0558345284
GD Phillips,1,1,0,5,5,45.45,0,0,,5,0,0,0,,,,,,,,,,,,,,0,45.45,285.9497684719,475.6382776829
JRMVB Sanjaya,3,1,0,5,5,166.66,1,0,,5,0,0,0,,,,,,,,,,,,,,0,167.66,1054.8369236964,1754.5767576747
PVD Chameera,7,4,4,2,0,100,0,0,,4,0,0,0,,,,,,,,,,,,,,0,100,629.1524058788,1046.5088617885
LE Plunkett,8,3,1,4,2,80,0,0,,4,0,0,1,12,4,2,26,29,175.75,9,1,,58,0,0,0,0,80,503.321924703,837.2070894308
Rubel Hossain,3,3,2,2,4,80,0,0,,4,0,0,0,2,2,1,10,11,64.7,1,0,,11,0,0,0,0,80,503.321924703,837.2070894308
Rubel Hossain,3,3,2,2,4,80,0,0,,4,0,0,0,2,2,1,10,11,64.7,1,0,,11,0,0,0,0,80,503.321924703,837.2070894308
PJ Cummins,3,2,1,3,3,100,0,0,,3,0,0,0,10,6,2,36,19.75,79,6,3,,79,0,0,1,0,100,629.1524058788,1046.5088617885
ST de Silva,3,2,0,3,1.5,42.85,0,0,,3,0,0,1,,,,,,,,,,,,,,0,42.85,269.5918059191,448.4290472764
Nasir Hossain,2,1,0,3,3,42.85,0,0,,3,0,0,0,2,2,1,27,31,83.78,2,0,,31,0,0,0,0,42.85,269.5918059191,448.4290472764
JDF Vandersay,3,3,2,3,3,37.5,0,0,,3,0,0,0,4,2,0,8,7.5,44.11,2,0,,15,0,0,0,0,37.5,235.9321522046,392.4408231707
JDF Vandersay,3,3,2,3,3,37.5,0,0,,3,0,0,0,4,2,0,8,7.5,44.11,2,0,,15,0,0,0,0,37.5,235.9321522046,392.4408231707
KMC Bandara,1,1,1,2,0,50,0,0,,2,0,0,0,,,,,,,,,,,,,,0,50,314.5762029394,523.2544308943
SL Malinga,4,2,1,1,2,50,0,0,,2,0,0,0,,,,,,,,,,,,,,0,50,314.5762029394,523.2544308943
AF Milne,4,1,1,2,0,100,0,0,,2,0,0,0,,,,,,,,,,,,,,0,100,629.1524058788,1046.5088617885
L Ngidi,3,1,1,2,0,66.66,0,0,,2,0,0,0,,,,,,,,,,,,,,0,66.66,419.3929937588,697.6028072682
TA Boult,3,1,1,1,0,100,0,0,,1,0,0,0,13,9,6,16,13.33,86.95,5,1,,40,0,0,0,0,100,629.1524058788,1046.5088617885
R Dhawan,1,1,1,1,0,50,0,0,KKR,1,0,0,0,,,,,,,,,,,,,,55,50,314.5762029394,523.2544308943
Imran Tahir,13,1,0,1,1,16.66,0,0,,1,0,0,0,17,5,1,29,8.75,97.22,7,0,,35,0,0,2,0,16.66,104.8167908194,174.348376374
DS Kulkarni,2,1,1,1,0,100,0,0,,1,0,0,0,4,1,1,25,0,96.15,2,1,,25,0,0,0,0,100,629.1524058788,1046.5088617885
RAS Lakmal,4,3,1,1,0.5,33.33,0,0,,1,0,0,1,16,9,3,20,7.5,51.13,2,1,,45,0,0,3,0,33.33,209.6964968794,348.8014036341
RJW Topley,4,1,1,1,0,50,0,0,,1,0,0,0,,,,,,,,,,,,,,0,50,314.5762029394,523.2544308943
